Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.160930995517805,0.0567423417730914,-0.00782758720815043,0,0,0,9.90010001726695,0.0700249747187285,2.77044119297997E-07,9.64699999229296E-05,0.0306181387356148,-4.05669516072176E-07,0.0533139186451046,0,0,0,0,0,0,package://Assem10/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Assem10/meshes/base_link.STL,,URC MARS ROVER CHASSIS 2025.STEP-1;aluminium clamp-2;aluminium clamp-1;imu sensor-1;gps mount-1;DIFFERENTAIL BAR.STEP-1;single rocker bogie with hub motor wheel left-2/v2rocker1-1;single rocker bogie with hub motor wheel left-2/wheel hub with tire-2/wheel hub and tire-1;single rocker bogie with hub motor wheel left-2/rocker joint ms plate-1;single rocker bogie with hub motor wheel left-2/actual rocker hub-1;single rocker bogie with hub motor wheel left-2/rocker joint ms plate-2;single rocker bogie with hub motor wheel left-2/wheel hub with tire-1/wheel hub and tire-1;single rocker bogie with hub motor wheel right-2/wheel hub with tire-2/wheel hub and tire-1;single rocker bogie with hub motor wheel right-2/wheel hub with tire-1/wheel hub and tire-1;single rocker bogie with hub motor wheel right-2/v2rocker1-1;single rocker bogie with hub motor wheel right-2/actual rocker hub-1;single rocker bogie with hub motor wheel right-2/rocker joint ms plate-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RF,-0.070127125179043,5.89168811093721E-06,-1.21221895692525E-05,0,0,0,3.57448453557898,0.0295859622143953,-3.45032340310931E-10,4.65651313211761E-10,0.0205584479844293,2.28253922016119E-06,0.0205548004805363,0,0,0,0,0,0,package://Assem10/meshes/RF.STL,1,1,1,1,0,0,0,0,0,0,package://Assem10/meshes/RF.STL,,single rocker bogie with hub motor wheel right-2/wheel hub with tire-1/nylon rim-1;single rocker bogie with hub motor wheel right-2/wheel hub with tire-1/Tyre design 2-1,RF_COORDI,RF_AXIS,RF,revolute,-0.29083,-0.30404,-0.25109,-1.5708,0,-1.5708,base_link,-1,0,0,0,0,0,0,,,,,,,,
LF,0.0702271724870632,-1.04460431388231E-05,-8.51704052695634E-06,0,0,0,3.57448131006854,0.0295859622143955,-5.08954755758024E-10,-2.77206581178434E-10,0.0205560592467253,-2.86650441261477E-06,0.0205571892182404,0,0,0,0,0,0,package://Assem10/meshes/LF.STL,0.752941176470588,0,0,1,0,0,0,0,0,0,package://Assem10/meshes/LF.STL,,single rocker bogie with hub motor wheel left-2/wheel hub with tire-1/Tyre design 2-1;single rocker bogie with hub motor wheel left-2/wheel hub with tire-1/nylon rim-1,LF_COORDI,"LF_AXIS ",LF,fixed,-0.290826080497761,0.316247207262208,-0.251089525412,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LB,0.0702271251790433,1.20538068726916E-05,-6.03035724583423E-06,0,0,0,3.574484535579,0.0295859622143955,4.61662707464414E-10,-3.50351239944112E-10,0.0205548533242689,2.32377721637767E-06,0.0205583951406968,0,0,0,0,0,0,package://Assem10/meshes/LB.STL,1,1,1,1,0,0,0,0,0,0,package://Assem10/meshes/LB.STL,,single rocker bogie with hub motor wheel left-2/wheel hub with tire-2/nylon rim-1;single rocker bogie with hub motor wheel left-2/wheel hub with tire-2/Tyre design 2-1,LB_COORDI,"LB_AXIS ",LB,revolute,-0.29083,0.31625,0.34891,-1.5708,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
RB,-0.0702271724870632,1.23412855801974E-05,-5.41779169571655E-06,0,0,0,3.57448131006854,0.0295859622143954,-5.64502264178318E-10,1.31208309299921E-10,0.0205546643219842,2.16675039901438E-06,0.0205585841429814,0,0,0,0,0,0,package://Assem10/meshes/RB.STL,1,1,1,1,0,0,0,0,0,0,package://Assem10/meshes/RB.STL,,single rocker bogie with hub motor wheel right-2/wheel hub with tire-2/nylon rim-1;single rocker bogie with hub motor wheel right-2/wheel hub with tire-2/Tyre design 2-1,RB_COORDI,RB_AXIS,RB,revolute,-0.29083,-0.30414,0.34891,-1.5708,0,-1.5708,base_link,-1,0,0,0,0,0,0,,,,,,,,
IMU,0.00134193003921145,0.00154722539149073,-0.00169171674705683,0,0,0,0.00131462107826193,7.29674760485273E-08,-9.8890105512255E-12,-2.00853651412328E-12,6.34975902776129E-08,7.64049297011877E-13,1.34417554725387E-07,0,0,0,0,0,0,package://Assem10/meshes/IMU.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem10/meshes/IMU.STL,,imu sensor-1/LSM6DSO-1,IMU_COORDI,,IMU,fixed,0.023111,0.0074304,0.026248,-1.5708,0.019058,-1.5708,base_link,0,0,0,,,,,,,,,,,,
OPTICAL,-1.73472347597681E-18,1.38777878078145E-17,-0.00318525013167438,0,0,0,0.00315266441191135,3.00010625754228E-07,-7.99950523324082E-23,-1.49143534056784E-23,1.1393654372309E-07,-3.81988171641871E-24,2.93583596985047E-07,0,0,0,0,0,0,package://Assem10/meshes/OPTICAL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem10/meshes/OPTICAL.STL,,OPTICAL FLOW-1,OPTICAL_COORDI,,OPTICAL,fixed,-0.091551,0.0046556,0.087323,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
GPS,0,1.38777878078145E-17,-0.0295024951902178,0,0,0,0.0146410874338426,3.17358826692755E-05,-1.16645391067021E-21,3.22446708881848E-20,3.17358826692755E-05,1.78096689542018E-20,1.93641269939486E-06,0,0,0,0,0,0,package://Assem10/meshes/GPS.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem10/meshes/GPS.STL,,Part56-1,GPS_COORDI,,GPS,fixed,0.19045,0.20596,0.09541,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
